Outcome,Ours,IPC,Bullet,Experiment,exp_sample_count
2,0.029116465863453813,0.01810865191146881,0.019,0.008866995073891626,9
3,0.05421686746987951,0.03923541247484909,0.04,0.059113300492610835,60
4,0.08333333333333333,0.079476861167002,0.062,0.08275862068965517,84
5,0.1114457831325301,0.12877263581488932,0.131,0.15270935960591134,155
6,0.13855421686746988,0.14889336016096577,0.143,0.1399014778325123,142
7,0.16666666666666666,0.16498993963782696,0.16,0.15862068965517243,161
8,0.13855421686746988,0.1458752515090543,0.152,0.13793103448275862,140
9,0.1114457831325301,0.12072434607645874,0.135,0.14187192118226602,144
10,0.08333333333333333,0.08148893360160965,0.06,0.06798029556650247,69
11,0.05421686746987951,0.05331991951710261,0.04,0.04433497536945813,45
12,0.029116465863453813,0.019114688128772633,0.021,0.005911330049261084,6
