id,weight_ratio,OT_us_IPC,OT_us_Bullet,OT_IPC_Bullet
1344061_sf_m0_p0,0.07445713871679521,0.00618387751376781,0.04447203864535446,0.04303267782484763
1344061_sf_m2_p2,0.40014019594920414,0.22845762934763636,0.2690653986169099,0.13618794549167276
91347_sf_m0_p0,0.16381659137505697,0.08744488406223876,0.14839956013919156,0.08218056760164873
91347_sf_m2_p0,0.19920708029568626,0.09040632873046159,0.17811821150358637,0.08793794140117209
91347_sf_m2_p2,0.24296354879994106,0.15073366648660314,0.19237923261405135,0.041645576652333045
1344055_sf_m0_p0,0.2567933175799113,0.17784310306501488,0.3294544693601289,0.1832060231291159
1344055_sf_m2_p0,0.21009168685374097,0.135192038649433,0.34506544206126977,0.27724051309429526
1344055_sf_m2_p1,0.27076871313281065,0.11206335551267613,0.32055423664615057,0.2099855744937247
250142_sf_m0_p0,0.3848764411319759,0.20135372315126565,0.3592017034184566,0.36974866259517924
250142_sf_m2_p0,0.20718233449402115,0.1554309808192246,0.3890087959121824,0.25571858902535693
250142_sf_m2_p1,0.2619570997085279,0.1084370229000852,0.17579379964606368,0.25639947451285294
250142_sf_m2_p2,0.2571744936686164,0.3868468808491067,0.35010804789864997,0.14176133433587132
76947_sf_m0_p0,0.20636905273482153,0.07665286862202104,0.06421758933618386,0.013900639573676175
76947_sf_m2_p0,0.31353285056688746,0.16639188550367764,0.34204416000395654,0.44114250835309293
76947_sf_m2_p1,0.32385643595054325,0.11358160145121322,0.27280410426732005,0.2928000554381682
76947_sf_m2_p2,0.13643637074024273,0.16385715157429812,0.30529852788466033,0.2441559462957451
44234_sf_m0_p0,0.1453251743119251,0.2503192054109978,0.41646963709885026,0.2629955528402003
44234_sf_m2_p0,0.23553101295754952,0.27912101931956346,0.3833926129113559,0.28758702593180235
44234_sf_m2_p1,0.20940891214787677,0.05394995727768175,0.171177839590397,0.14360274528195602
44234_sf_m2_p2,0.2376350413052244,0.050937870603533573,0.21938760190744774,0.2545606607600292
120477_sf_m0_p0,0.38274058179568266,0.20989130063657524,0.38409035338744385,0.18485573079022075
120477_sf_m2_p0,0.39321058972698303,0.104740798382276,0.19945671478988208,0.15922546137533344
120477_sf_m2_p1,0.1094142487273853,0.09574880494929808,0.5590458513301728,0.4994445963432492
120477_sf_m2_p2,0.26643412825770285,0.4482878597015425,0.7243305636263471,1.0985243801273805
79241_sf_m0_p0,0.11520350978235298,0.13605927639758664,0.17431392823033023,0.06677553087941182
79241_sf_m2_p0,0.30511992027504986,0.19571588120794078,0.2985068039991054,0.31305052481920975
79241_sf_m2_p1,0.37683275030811153,0.2531205567006613,0.33570729014622025,0.34109016878918524
79241_sf_m2_p2,0.3731427429525259,0.22973183654385004,0.41130911999870495,0.3377145464169172
127196_sf_m2_p1,0.21470320132982867,0.13153442198470144,0.18043909091030294,0.16585599562287665
127196_sf_m2_p2,0.13902423011491696,0.1079683232473023,0.3688066336570526,0.3512961369598767
127316_sf_m0_p0,0.2769749601386791,0.12409603432122822,0.1559093883090961,0.13515112885332886
127316_sf_m2_p0,0.4450712279334771,0.10917468790165663,0.3068138341920399,0.23490741803035242
127316_sf_m2_p1,0.29398703200577175,0.20792568325466812,0.39067173011269757,0.39428717038977623
127316_sf_m2_p2,0.20775688383858287,0.21325057053803012,0.2065593667223105,0.046783359048281674
68381_sf_m2_p0,0.07522076413375013,0.0217730767352954,0.2704192861726716,0.2508638406409609
68381_sf_m2_p2,0.24392166155735426,0.18691269924892917,0.2260402440518368,0.0559477120878744
437348_sf_m0_p0,0.3617766926916182,0.04782754730901716,0.04763991219232275,0.04213730566983561
437348_sf_m2_p0,0.282877221203242,0.4620957694541781,0.6142418863477203,0.1550953098782736
437348_sf_m2_p1,0.2568577753318635,0.18529941812752085,0.35520534728986647,0.41018076039824275
437348_sf_m2_p2,0.13730296940537812,0.1894069921495189,0.37074947797498364,0.32690676448026834
682288_sf_m2_p1,0.18014031811327721,0.027776726683439112,0.25582488210204707,0.26965776766441124
1344045_sf_m0_p0,0.4144601619538974,0.20696554839643946,0.24760907456288478,0.05039089653797468
1344045_sf_m2_p0,0.3289557603272075,0.13798143917570085,0.23099886699300326,0.10208567641894871
1344045_sf_m2_p1,0.2891049541264279,0.12280332344597705,0.17781795626774508,0.07358552272599528
1344045_sf_m2_p2,0.4110860771603493,0.09612117098435825,0.16605911028631287,0.10337813714970276
1344051_sf_m0_p0,0.42616123337001355,0.24147415163693844,0.43603884819167776,0.19941482354811435
1344051_sf_m2_p0,0.213086187108015,0.08435690473249502,0.14449293640803762,0.10674555251776958
1344051_sf_m2_p1,0.13222910981960848,0.08203883624637755,0.15582399228814253,0.09057000666942999
1344051_sf_m2_p2,0.18189977600915813,0.13880404827023346,0.16408480440834722,0.061013779718821895
93097_sf_m0_p0,0.2167013916403474,0.10496955635622487,0.15175774310592124,0.06450610023284169
93097_sf_m2_p0,0.2873598201754252,0.21519526822036028,0.24665799492628557,0.04483067647688306
93097_sf_m2_p1,0.12585017970048532,0.0939022891759945,0.13889345232945427,0.10349320541391357
93097_sf_m2_p2,0.20042620715977016,0.060123323500478804,0.10662775531024422,0.05189277132092123
81951_sf_m0_p0,0.2256403290191037,0.1481417617848322,0.18787003594780094,0.11787994045677254
81951_sf_m2_p0,0.31229223778548615,0.09520607052055093,0.15374696997566706,0.07486516116987493
81951_sf_m2_p1,0.2757685656700425,0.3799777461530388,0.476881455697395,0.4503771195329652
81951_sf_m2_p2,0.41859421160070936,0.12685701621814788,0.3610058613017712,0.32608866252718594
64194_sf_m0_p0,0.08025706315295006,0.011556480000160905,1.0335347547940856,1.0294918204466237
64194_sf_m2_p0,0.26171995884332094,0.1337367026923828,0.19100827785245322,0.057271577090978874
64194_sf_m2_p1,0.016216854193934038,0.014134220700036811,0.004234674908880389,0.00989954579115642
64194_sf_m2_p2,0.04491145592627267,0.006955500164875921,0.04318131873733867,0.03622581857246271
103538_sf_m0_p0,0.379847144930272,0.16068287623494876,0.26807112085880386,0.16614241200507213
103538_sf_m2_p0,0.23532490730624556,0.05906757823902791,0.19719345329547847,0.1449229202094165
103538_sf_m2_p1,0.24214628816716416,0.1317017121155075,0.44149836139815907,0.4390631279745799
103538_sf_m2_p2,0.2540128807240959,0.10941481709516926,0.8734297258884128,0.9333627433676532
73101_sf_m2_p0,0.15338716795424504,0.14714733332409366,0.1963185622337177,0.06568722619319518
73101_sf_m2_p2,0.31425859710738646,0.15476208013723697,0.21884045172075423,0.08807734679846686
133079_sf_m0_p0,0.3413913318056928,0.3100541517135963,0.4112220062462633,0.10253176306118215
133079_sf_m2_p0,0.33395242976557765,0.283112045729299,0.4821901189031176,0.5315060406264398
133079_sf_m2_p1,0.26923207215725836,0.21723854980613405,0.3139703928778292,0.15666717429351612
133079_sf_m2_p2,0.3530064595525393,0.21421629619164592,0.5137588225537998,0.4952832001400724
73075_sf_m2_p0,0.04352792200597483,0.10195038905566442,0.38128470385176566,0.4814991349117893
73075_sf_m2_p2,0.1230347287571897,0.0807555295262289,0.5909148618502711,0.5365509064630439
1344041_sf_m0_p0,0.22444109652290625,0.04734355375075486,0.07203059903231215,0.028064414429211988
1344041_sf_m2_p0,0.22281373722979164,0.1691740791995884,0.1410557945068793,0.03438503665100437
1344041_sf_m2_p1,0.31941442148884847,0.19923633373060257,0.20497385026326229,0.017631717787067618
