Outcome,Ours,IPC,Bullet,Experiment,exp_sample_count
1,0.16524787180771155,0.1843687374749499,0.195,0.11285714285714285,79
2,0.1732598898347521,0.20741482965931862,0.124,0.19285714285714287,135
3,0.1642463695543315,0.12925851703406813,0.095,0.12571428571428572,88
4,0.16124186279419128,0.21442885771543085,0.227,0.18428571428571427,129
5,0.16224336504757136,0.12324649298597194,0.125,0.2785714285714286,195
6,0.17376064096144214,0.1412825651302605,0.124,0.10571428571428572,74
