Outcome,Ours,IPC,Bullet,Experiment,exp_sample_count
0,0.1260252050410082,0.093197,0.09875467118407122,0.13069908814589665,43
1,0.3739747949589918,0.397403,0.40504713069347004,0.4194528875379939,138
2,0.3739747949589918,0.396383,0.40878327727612196,0.3556231003039514,117
3,0.1260252050410082,0.113017,0.08741492084633679,0.09422492401215805,31
