Outcome,Ours,IPC,Bullet,Experiment,exp_sample_count
0,0.25,0.250300360432519,0.245,0.24,24
1,0.5,0.4975971165398478,0.497478,0.49,49
2,0.25,0.2521025230276332,0.255,0.27,27
