Outcome,Ours,IPC,Bullet,Experiment,exp_sample_count
1,0.34,0.331,0.3430290872617853,0.3303030303030303,109
2,0.34,0.36,0.3480441323971915,0.3484848484848485,115
3,0.32,0.31,0.30892678034102306,0.3212121212121212,106
