Outcome,Ours,IPC,Bullet,Experiment,exp_sample_count
1,0.3369672943508424,0.37,0.35,0.32019704433497537,130
2,0.33002973240832506,0.306,0.314,0.35714285714285715,145
3,0.3330029732408325,0.324,0.331,0.3226600985221675,131
